Title,Author,Released,Purchased,Medium,Type,Category,Methodology,Theme1,Theme2,Theme3,Theme4,Theme5
Das Erbe der Elfen,Andrzej Sapkowski,1994,2019-05-05,Audible,Story,High Fantasy,,identity,civilization,ethics,,
Management 4.0,Patrick Balve & Frank Edelkraut & Jens Köhler & Helge F. R. Nuhn & Steve Raue & Norbert Schaffitzel & Marcel Schwarzenberger & Hubertus Tuczek & Alfred Oswald & Wolfram Müller,2019,2019-05-04,Kindle,Knowledge,Organization,,agile,leadership,business-agility,digital,
Der Untergang des Universums,Brandon Q. Morris,2019,2019-05-01,Kindle,Story,Hard Science,,future-scenarios,chaos,consciousness,,
From the Sands of Dorne,Chelsea Monroe-Cassel,2017,2019-04-30,Kindle,Reference,Lifestyle,,civilization,identity,,,
A Feast of Ice and Fire,Chelsea Monroe-Cassel & Sariann Lehrer,2012,2019-04-30,Kindle,Reference,Lifestyle,,civilization,identity,,,
Auf dem Tablet erklärt,Sandra Schulze,2019,2019-04-30,Kindle,Reference,Technical,,digital,human-behavior,creativity,,
Der Design-Thinking-Werkzeugkasten,Ansgar Gerling & Godehard Gerling,2019,2019-04-30,Kindle,Knowledge,Design,Design-Thinking,design-thinking,creativity,customer-centricity,,
Teamwork agil gestalten,Alois Summerer & Paul Maisberger,2019,2019-04-30,Kindle,Knowledge,Agile & Lean,,agile,leadership,business-agility,,
Ewigkeit,Phillip P. Peterson,2018,2019-04-30,Audible,Story,Hard Science,,future-scenarios,consciousness,identity,,
Die Agilitäts-Falle,Thomas Würzburger,2019,2019-04-28,Kindle,Knowledge,Organization,,agile,business-agility,leadership,,
Frankie Machine,Don Winslow,2005,2019-04-27,Audible,Story,Crime,,power-dynamics,identity,,,
Turn the Ship Around!,L. David Marquet,2012,2019-04-20,Audible,Knowledge,Leadership,,leadership,influence,power-dynamics,,
Auris,Sebastian Fitzek & Vincent Kliesch & Helge May & Judith Schöll,2017,2019-04-18,Audible,Story,Thriller,,identity,chaos,,,
Dark Web,Veit Etzold,2019,2019-04-18,Audible,Story,Thriller,,power-dynamics,digital,chaos,,
Renegades,Craig Alanson,2018,2019-04-17,Audible,Story,Space Opera,,future-scenarios,ai-impact,civilization,,
The Hard Thing About Hard Things,Ben Horowitz,2014,2019-04-06,Audible,Knowledge,Startup,,leadership,strategy,business-value,,
Enterprise Architecture Frameworks Kompendium,Dirk Matthes,2011,2019-04-01,Kindle,Reference,Technical,,digital,strategy,,,
Digitalisierung und Industrie 4.0,Inge Hanschke,2018,2019-04-01,Kindle,Knowledge,Organization,,digital,strategy,business-agility,,
Why Nations Fail,Daron Acemoglu & James A. Robinson,2012,2019-03-29,Audible,Knowledge,Politics,,power-dynamics,civilization,strategy,economics,
Leaders,General Stanley McChrystal & Jeff Eggers & Jay Mangone,2018,2019-03-28,Audible,Knowledge,Leadership,,leadership,strategy,power-dynamics,,
Jupiter,Brandon Q. Morris,2019,2019-03-25,Audible,Story,Hard Science,,future-scenarios,chaos,,,
Auf den Schwingen des Adlers,Ken Follett,1983,2019-03-25,Audible,Story,Thriller,,power-dynamics,strategy,influence,,
Ewiges Leben,Andreas Brandhorst,2018,2019-03-20,Audible,Story,Space Opera,,future-scenarios,consciousness,ai-impact,,
Measure What Matters,John Doerr,2017,2019-03-16,Audible,Knowledge,Agile & Lean,OKR,business-value,delivery,strategy,,
GIER - Wie weit würdest du gehen?,Marc Elsberg,2019,2019-03-16,Audible,Story,Thriller,,chaos,power-dynamics,ethics,,
The Big Five,Sanjiv Chopra & David Fisher,2018,2019-03-16,Audible,Knowledge,Health,,health,identity,human-behavior,,
HBR's 10 Must Reads on Strategy,Harvard Business Review & Michael E. Porter & W. Chan Kim & Renee Renee,2011,2019-03-12,Audible,Reference,Business,,strategy,business-value,,,
Perry Rhodan - Das größte Abenteuer,Andreas Eschbach,2019,2019-03-05,Audible,Story,Space Opera,,civilization,future-scenarios,ai-impact,,
Vom Neandertal in die Philharmonie,Eckart Altenmüller,2018,2019-03-02,Kindle,Knowledge,Science,,evolution,consciousness,creativity,,
Das Gedächtnis des Körpers,Joachim Bauer,2002,2019-03-02,Kindle,Knowledge,Psychology,,human-behavior,identity,health,,
The Collapsing Empire,John Scalzi,2017,2019-03-02,Audible,Story,Space Opera,,civilization,power-dynamics,future-scenarios,,
Der agile Kulturwandel,Svenja Hofert & Claudia Thonet,2017,2019-03-01,Kindle,Knowledge,Organization,,agile,business-agility,leadership,systems-thinking,
Reframe it!,Andri Hinnen & Gieri Hinnen,2019,2019-03-01,Kindle,Knowledge,Strategy,,strategy,business-agility,creativity,,
Der agile Kulturwandel,Svenja Hofert & Claudia Thonet,2017,2019-03-01,Kindle,Knowledge,Organization,,agile,business-agility,leadership,systems-thinking,
Reframe it!,Andri Hinnen & Gieri Hinnen,2019,2019-03-01,Kindle,Knowledge,Strategy,,strategy,business-agility,creativity,,
The Culture Code,Daniel Coyle,2018,2019-03-01,Audible,Knowledge,Organization,,leadership,culture,human-behavior,,
Behemoth,Joshua B. Freeman,2018,2019-03-01,Audible,Knowledge,History,,civilization,power-dynamics,systems-thinking,,
Collapse,Jared Diamond,2005,2019-02-18,Audible,Knowledge,Anthropology,,civilization,complexity,systems-thinking,,
Die Bärenführerin (Agnes von Langerode 1),Lea Weisz,2018,2019-02-15,Kindle,Story,Historical Fiction,,identity,civilization,,,
Die Bärenführerin (Agnes von Langerode 1),Lea Weisz,2018,2019-02-15,Kindle,Story,Historical Fiction,,identity,civilization,,,
Wie Google tickt - How Google Works,Eric Schmidt & Jonathan Rosenberg,2014,2019-02-15,Audible,Knowledge,Organization,,strategy,digital,leadership,,
Blackout Teil 2,Marc Elsberg,2012,2019-02-11,Audible,Story,Near Future,,chaos,digital,systems-thinking,,
Influence: Science and Practice,Robert B. Cialdini,1984,2019-02-05,Audible,Knowledge,Communication,Agile-Generic,influence,human-behavior,strategy,,
Mars Nation 2,Brandon Q. Morris,2018,2019-01-30,Audible,Story,Hard Science,,future-scenarios,identity,,,
Die Schöpfungsmaschine,James P. Hogan,1977,2019-01-17,Audible,Story,Hard Science,,future-scenarios,ai-impact,consciousness,,
Befreiung,Peter F. Hamilton & Wolfgang Thon,2018,2019-01-06,Audible,Story,Space Opera,,civilization,power-dynamics,future-scenarios,,
Exponentialdrift,Andreas Eschbach,2018,2019-01-06,Audible,Story,Near Future,,digital,future-scenarios,ai-impact,,
Act creative!,Christian Stadler & Sabine Spitzer-Prochazka & Eva Kern & Bärbel Kress,2019,2019-01-02,Kindle,Knowledge,Design,Design-Thinking,design-thinking,creativity,user-experience,,
A bis Z der Interventionen in Gruppen,Hartwig Hansen,2019,2019-01-02,Kindle,Knowledge,Organization,,leadership,influence,systems-thinking,,
Act creative!,Christian Stadler & Sabine Spitzer-Prochazka & Eva Kern & Bärbel Kress,2019,2019-01-02,Kindle,Knowledge,Design,Design-Thinking,design-thinking,creativity,user-experience,,
A bis Z der Interventionen in Gruppen,Hartwig Hansen,2019,2019-01-02,Kindle,Knowledge,Organization,,leadership,influence,systems-thinking,,
The Hole,Brandon Q. Morris,2018,2018-12-31,Audible,Story,Hard Science,,future-scenarios,chaos,,,
Am Abgrund,Dan Adams,2018,2018-12-08,Audible,Story,Thriller,,chaos,power-dynamics,,,
Ascendant,Craig Alanson,2018,2018-12-08,Audible,Story,Space Opera,,future-scenarios,ai-impact,civilization,,
Mars Nation 1,Brandon Q. Morris,2018,2018-11-30,Audible,Story,Hard Science,,future-scenarios,chaos,,,
Krieg um den Mond,Klaus Seibel,2018,2018-11-29,Audible,Story,Hard Science,,future-scenarios,chaos,,,
Feuer und Blut - Erstes Buch,George R.R. Martin,2018,2018-11-28,Audible,Story,Historical Fiction,,civilization,power-dynamics,,,
Zeroes,Chuck Wendig,2015,2018-11-26,Audible,Story,Near Future,,digital,ai-impact,future-scenarios,,
The Dichotomy of Leadership,Jocko Willink & Leif Babin,2018,2018-11-21,Audible,Knowledge,Leadership,,leadership,ethics,strategy,,
Extreme Ownership,Jocko Willink & Leif Babin,2015,2018-11-19,Audible,Knowledge,Leadership,,leadership,ethics,strategy,,
Der Insasse,Sebastian Fitzek,2018,2018-11-17,Audible,Story,Thriller,,identity,chaos,power-dynamics,,
Krieg der Städte,Philip Reeve,2001,2018-11-11,Audible,Story,Near Future,,future-scenarios,civilization,chaos,,
Galaxy's Edge,Jason Anspach & Nick Cole,2017,2018-11-07,Audible,Story,Space Opera,,future-scenarios,ai-impact,civilization,,
Mavericks,Craig Alanson,2018,2018-10-24,Audible,Story,Space Opera,,future-scenarios,ai-impact,civilization,,
Selbstorganisation braucht Führung,Boris Gloger & Dieter Rösner,2014,2018-10-22,Audible,Knowledge,Organization,,leadership,agile,systems-thinking,,
NSA - Nationales Sicherheits-Amt,Andreas Eschbach,2018,2018-10-22,Audible,Story,Near Future,,digital,power-dynamics,ai-impact,,
Kurze Antworten auf große Fragen,Stephen Hawking,2018,2018-10-22,Audible,Knowledge,Science,,future-scenarios,ai-impact,complexity,,
21 Lektionen für das 21. Jahrhundert,Yuval Noah Harari,2018,2018-10-10,Audible,Knowledge,Anthropology,,civilization,future-scenarios,ai-impact,,
Zero Hour,Craig Alanson,2018,2018-10-10,Audible,Story,Space Opera,,future-scenarios,ai-impact,civilization,,
KATA,Alexandra Lindner & Tilo Schwarz & Gerd F. Kamiske,2018,2018-09-25,Kindle,Knowledge,Agile & Lean,,lean,flow,delivery,systems-thinking,
Systems Thinking,Jamshid Gharajedaghi,2011,2018-09-25,Kindle,Knowledge,Systems Thinking,Systems-Modeling,systems-thinking,complexity,emergence,,
KATA,Alexandra Lindner & Tilo Schwarz & Gerd F. Kamiske,2018,2018-09-25,Kindle,Knowledge,Agile & Lean,,lean,flow,delivery,systems-thinking,
Systems Thinking,Jamshid Gharajedaghi,2011,2018-09-25,Kindle,Knowledge,Systems Thinking,Systems-Modeling,systems-thinking,complexity,emergence,,
Abgeschnitten,Sebastian Fitzek & Michael Tsokos,2012,2018-09-25,Audible,Story,Thriller,,identity,chaos,,,
The Fifth Discipline,Peter M. Senge,1990,2018-09-25,Audible,Knowledge,Systems Thinking,Systems-Modeling,systems-thinking,complexity,emergence,flow,
Making Work Visible,Dominica DeGrandis,2017,2018-09-19,Kindle,Knowledge,DevOps,,delivery,flow,lean,,
The Art Of Thinking In Systems,Steven Schuster,2018,2018-09-19,Kindle,Knowledge,Systems Thinking,,systems-thinking,complexity,emergence,,
Making Work Visible,Dominica DeGrandis,2017,2018-09-19,Kindle,Knowledge,DevOps,,delivery,flow,lean,,
The Art Of Thinking In Systems,Steven Schuster,2018,2018-09-19,Kindle,Knowledge,Systems Thinking,,systems-thinking,complexity,emergence,,
Black Ops,Craig Alanson,2018,2018-09-19,Audible,Story,Space Opera,,future-scenarios,ai-impact,civilization,,
Finish What You Start,Peter Hollins,2017,2018-09-06,Audible,Knowledge,Psychology,,identity,human-behavior,flow,,
Trouble on Paradise,Craig Alanson,2018,2018-09-06,Audible,Story,Space Opera,,future-scenarios,ai-impact,civilization,,
Prozessmanagement,Jörg Becker & Martin Kugeler & Michael Rosemann,2012,2018-09-03,Kindle,Reference,Technical,,systems-thinking,delivery,,,
Prozessmanagement,Jörg Becker & Martin Kugeler & Michael Rosemann,2012,2018-09-03,Kindle,Reference,Technical,,systems-thinking,delivery,,,
Origin Story,David Christian,2018,2018-09-03,Audible,Knowledge,Anthropology,,civilization,evolution,complexity,,
Lean UX,Jeff Gothelf & Josh Seiden,2013,2018-09-01,Kindle,Knowledge,Design,Lean,lean,user-experience,customer-centricity,design-thinking,
Lean UX,Jeff Gothelf & Josh Seiden,2013,2018-09-01,Kindle,Knowledge,Design,Lean,lean,user-experience,customer-centricity,design-thinking,
Paradise,Craig Alanson,2018,2018-08-30,Audible,Story,Space Opera,,future-scenarios,ai-impact,civilization,,
SpecOps,Craig Alanson,2017,2018-08-15,Audible,Story,Space Opera,,future-scenarios,ai-impact,civilization,,
Weltenzerstörer,Cixin Liu,2008,2018-08-15,Audible,Story,Space Opera,,future-scenarios,ai-impact,civilization,,
The Singularity Trap,Dennis E. Taylor,2018,2018-08-12,Audible,Story,Space Opera,,future-scenarios,ai-impact,civilization,,
Die Pforte,Patrick Lee,2009,2018-08-09,Audible,Knowledge,Strategy,,strategy,future-scenarios,complexity,,
Strategic Reframing,Rafael Ramírez & Angela Wilkinson,2016,2018-08-06,Kindle,Knowledge,Organization,,leadership,complexity,systems-thinking,,
Reinventing Organizations visuell,Frederic Laloux,2016,2018-08-06,Kindle,Knowledge,Strategy,,strategy,future-scenarios,complexity,,
Strategic Reframing,Rafael Ramírez & Angela Wilkinson,2016,2018-08-06,Kindle,Knowledge,Organization,,leadership,complexity,systems-thinking,,
Reinventing Organizations visuell,Frederic Laloux,2016,2018-08-06,Kindle,Story,Hard Science,,future-scenarios,chaos,,,
Enceladus - Die Rückkehr,Brandon Q. Morris,2018,2018-08-01,Audible,Reference,Business,,strategy,leadership,systems-thinking,,
Mind Tools for Managers,James Manktelow & Julian Birkinshaw,2018,2018-07-27,Kindle,Reference,Business,,strategy,leadership,systems-thinking,,
Mind Tools for Managers,James Manktelow & Julian Birkinshaw,2018,2018-07-27,Kindle,Knowledge,Design,Design-Thinking,design-thinking,creativity,customer-centricity,product-thinking,
Sprint,Jake Knapp & John Zeratsky & Braden Kowitz,2016,2018-07-21,Kindle,Knowledge,Design,Design-Thinking,design-thinking,creativity,product-thinking,customer-centricity,
Sprint,Jake Knapp & John Zeratsky & Braden Kowitz,2016,2018-07-21,Audible,Knowledge,Design,Design-Thinking,design-thinking,creativity,product-thinking,customer-centricity,
The Organized Mind,Daniel Levitin,2014,2018-07-21,Audible,Knowledge,Psychology,Systems-Modeling,human-behavior,systems-thinking,creativity,identity,
Essentialism,Greg McKeown,2014,2018-07-20,Audible,Knowledge,Leadership,,identity,human-behavior,strategy,flow,
Transformative Scenario Planning,Adam Kahane,2012,2018-07-09,Audible,Knowledge,Strategy,,future-scenarios,strategy,complexity,systems-thinking,
Agile Software Requirements,Dean Leffingwell,2010,2018-07-07,Kindle,Knowledge,Agile & Lean,Agile-Generic,agile,delivery,product-thinking,business-agility,
Agile Software Requirements,Dean Leffingwell,2010,2018-07-07,Kindle,Knowledge,Agile & Lean,Agile-Generic,agile,delivery,product-thinking,business-agility,
Managers Not MBAs,Henry Mintzberg,2004,2018-07-05,Audible,Knowledge,Leadership,,leadership,strategy,power-dynamics,business-value,
THE OPENSPACE AGILITY HANDBOOK,Daniel Mezick & Mark Sheffield & Deborah Pontes & Harold Shinsato & Louise Kold-Taylor,2016,2018-07-04,Kindle,Knowledge,Agile & Lean,Agile-Generic,agile,business-agility,delivery,organizational-change,
THE OPENSPACE AGILITY HANDBOOK,Daniel Mezick & Mark Sheffield & Deborah Pontes & Harold Shinsato & Louise Kold-Taylor,2016,2018-07-04,Kindle,Knowledge,Agile & Lean,Agile-Generic,agile,business-agility,delivery,organizational-change,
A Different Universe,Robert B Laughlin,2005,2018-07-02,Kindle,Knowledge,Science,,complexity,emergence,systems-thinking,future-scenarios,
A Different Universe,Robert B Laughlin,2005,2018-07-02,Kindle,Knowledge,Science,,complexity,emergence,systems-thinking,future-scenarios,
Nachrichten aus einem unbekannten Universum,Frank Schätzing,2006,2018-06-29,Kindle,Knowledge,Science,,civilization,evolution,future-scenarios,systems-thinking,
The Principles of Product Development Flow,Donald G. Reinertsen,2009,2018-06-29,Kindle,Knowledge,Product,,flow,delivery,product-thinking,lean,
Nachrichten aus einem unbekannten Universum,Frank Schätzing,2006,2018-06-29,Kindle,Knowledge,Science,,civilization,evolution,future-scenarios,systems-thinking,
